,sytoxG_t0,sytoxG_t2,sytoxG_t4,sytoxG_t6,sytoxG_t8,sytoxG_t10,sytoxG_t12,sytoxG_t14,sytoxG_t16,sytoxG_t18,sytoxG_t20,sytoxG_t22,sytoxG_t24,sytoxG_t26,sytoxG_t28,sytoxG_t30,sytoxG_t32,sytoxG_t34,sytoxG_t36,sytoxG_t38,sytoxG_t40,sytoxG_t42,sytoxG_t44,sytoxG_t46,mean,min,max,AUC_trapezoidal_integration,time_to_max,time_to_min,delta_min_max,delta_start_finish,most_positive_slope,time_to_most_positive_slope,most_negative_slope,time_to_most_negative_slope
ABT.263..Navitoclax.,53.83534,78.43253,82.1453,169.8598,386.1293,558.7737,661.3393,674.7982,680.3673,652.5215,629.7807,618.6423,624.2115,634.4216,644.1677,655.7701,663.6598,677.5828,674.7982,673.8699,678.5109,681.2955,680.8314,699.8594,551.483502916667,53.83534,699.8594,25717.5134,46,0,646.02406,646.02406,108.13475,7,-13.9229,17
Clofarabine,58.94042,60.33271,62.1891,62.1891,60.33271,64.04549,68.68647,81.21711,81.68121,108.1348,131.3397,171.7162,224.1592,252.0051,277.5305,288.6688,299.8072,300.2713,305.8404,313.7301,297.0226,297.9508,294.238,286.8124,185.3683925,58.94042,313.7301,8551.93002,38,0,254.78968,227.87198,26.2215,23,-8.35374999999999,39
BEZ235..NVP.BEZ235..Dactolisib.,64.04549,70.07877,72.39925,74.71974,101.6374,160.1137,213.0209,231.1207,237.6181,254.3256,279.3869,307.2327,340.6478,368.0295,401.9087,413.9752,452.0312,465.9542,495.1923,505.4025,529.0715,540.6739,535.5688,549.4918,319.318610416667,64.04549,549.4918,14713.75601,46,0,485.44631,485.44631,29.23815,9,-2.55255,43
KU.0063794,84.00169,93.28365,93.28365,85.85809,114.1681,139.2293,170.788,197.2415,235.2976,276.1382,334.1504,397.2677,481.2694,543.9226,608.4322,676.1904,718.8875,749.0538,773.1869,792.2149,806.6019,809.8506,814.4916,832.1273,451.122374166667,84.00169,832.1273,20737.74497,46,0,748.12561,748.12561,42.00085,23,-3.71278,5
PD184352..CI.1040.,90.96317,96.53233,91.42726,92.81956,107.6707,146.6549,172.6444,186.1032,191.6724,204.6671,218.1259,236.2258,287.7406,336.4709,382.8806,404.2292,416.7598,419.0803,414.4393,411.1906,405.1573,400.5164,383.8089,380.5602,269.9308675,90.96317,419.0803,12485.15827,34,0,328.11713,289.59703,25.7574,23,-8.35374999999999,43
Temozolomide,126.6987,125.7705,116.9526,103.9579,91.89136,104.8861,132.2679,152.6882,149.9036,151.2959,165.6829,193.5288,221.3746,247.3641,275.21,280.3151,306.3045,303.984,308.1609,294.238,285.8842,271.4972,259.4307,246.4359,204.821819166667,91.89136,308.1609,9458.31271999999,36,8,216.26954,119.7372,13.92295,21,-7.1935,41
Motesanib.Diphosphate..AMG.706.,99.31693,101.1733,103.4938,84.92989,72.86335,68.22237,71.93516,83.0735,99.78102,108.1348,136.4447,179.6058,235.2976,272.8895,287.7406,297.4867,309.5532,314.6583,304.4482,298.879,290.0611,261.7511,239.4744,237.6181,189.951350833333,68.22237,314.6583,8780.72981,34,10,246.43593,138.30117,27.8459,23,-14.155,41
Dienogest,92.35545,106.2784,97.46053,101.6374,109.5271,120.2013,145.2626,165.2188,172.6444,190.7442,219.5182,243.1872,262.2152,275.6741,293.7739,306.7686,306.3045,318.3711,321.1557,316.5147,323.0121,305.8404,300.7354,289.1329,224.313924166667,92.35545,323.0121,10385.58001,40,0,230.65665,196.77745,14.387,19,-8.58584999999999,41
STF.62247,87.25038,94.67594,85.85809,81.68121,72.86335,75.18384,87.25038,102.5656,109.5271,114.6321,125.3064,137.3729,143.8703,147.5831,167.0752,174.9649,182.8545,186.5673,202.8107,213.9491,216.7337,216.7337,209.3081,220.9105,144.063682916667,72.86335,220.9105,6606.8959,46,8,148.04715,133.66012,9.74605,27,-4.40893,7
Celecoxib,101.1733,110.9194,99.31693,91.89136,90.49906,94.21185,102.5656,112.7758,117.8808,118.809,144.3344,174.5008,226.4797,261.287,283.5638,313.266,328.1171,333.2222,343.8965,332.7581,301.6635,291.4534,263.6075,260.3589,204.106333333333,90.49906,343.8965,9435.57180000001,36,8,253.39744,159.1856,25.98945,23,-15.5473,39
Y.27632.2HCl,99.78102,108.1348,115.5603,110.4553,98.85282,117.4167,129.0192,138.7652,142.0139,157.3291,174.0367,201.4184,231.5848,252.4692,275.6741,255.7179,256.182,254.7897,238.0822,218.1259,210.2363,198.6339,189.816,187.9596,181.752293333333,98.85282,275.6741,8436.36945999999,28,8,176.82128,88.17858,15.0832,23,-9.97815,37
Adapalene,83.5376,85.39399,78.43253,76.57613,78.89662,102.5656,123.9141,142.478,162.8983,177.7495,193.9929,206.0594,210.2363,237.6181,257.5742,275.21,285.8842,291.4534,282.1714,294.238,290.9893,293.3098,310.4814,309.5532,202.133915416667,76.57613,310.4814,9309.33714,44,6,233.90527,226.0156,13.6909,25,-4.64099999999999,35
Masitinib..AB1010.,105.3502,116.0244,106.2784,100.2451,95.14005,97.46053,97.46053,112.3117,119.7372,128.5551,147.5831,173.5726,198.6339,222.7669,245.5077,273.8177,281.2433,279.3869,270.569,259.8947,248.2923,240.4026,222.3028,216.2696,181.616929583333,95.14005,281.2433,8395.99282,32,8,186.10325,110.9194,14.155,29,-9.04990000000001,43
Budesonide,122.9859,127.1628,118.3449,108.5989,102.1015,122.5218,136.4447,148.9754,152.6882,160.1137,166.147,165.6829,169.3957,165.2188,164.7547,163.8265,161.506,164.7547,169.8598,182.3904,192.1365,197.7056,209.7722,225.0874,158.257333333333,102.1015,225.0874,7248.2787,46,8,122.9859,102.1015,10.21015,9,-4.873,5
ZSTK474,100.7092,113.2399,113.704,114.6321,146.1908,213.9491,286.3483,336.4709,374.991,394.9472,423.2572,451.5671,481.7335,517.469,552.2764,589.4042,633.0294,676.6545,695.2184,729.5617,763.4409,773.651,792.2149,808.4583,461.796625,100.7092,808.4583,21257.0705,46,0,707.7491,707.7491,36.1996,11,0.232049999999994,3
Floxuridine,90.96317,94.21185,96.53233,94.21185,95.60414,105.8143,110.9194,121.5936,128.091,145.2626,156.8651,188.4237,222.3028,259.8947,278.9228,297.9508,313.266,321.1557,318.3711,317.907,322.5479,322.0839,311.4096,295.6303,208.747318333333,90.96317,322.5479,9633.27781,40,0,231.58473,204.66713,18.79595,25,-7.88965000000002,45
Belinostat..PXD101.,122.5218,121.5936,119.2731,107.2066,132.732,189.3519,241.7949,290.9893,361.0681,434.3955,490.0872,541.138,585.6914,633.9576,668.3008,685.9365,709.1414,722.6002,743.4846,754.1589,767.1536,792.679,813.5634,823.3094,493.8387,107.2066,823.3094,22758.4264,46,6,716.1028,700.7876,36.6637,17,-6.03325,5
Costunolide,117.4167,116.9526,107.6707,100.2451,98.38873,99.78102,90.96317,89.10677,93.74775,96.06824,105.3502,125.7705,154.0805,180.534,190.7442,189.816,203.2748,203.2748,211.1645,205.5953,211.6286,219.9823,229.7284,232.9771,153.094249166667,89.10677,232.9771,6998.13016,46,14,143.87033,115.5604,14.155,23,-4.64095,3
LAQ824..Dacinostat.,90.96317,102.5656,99.31693,97.92463,131.3397,223.231,326.7248,413.047,489.6231,539.7457,618.1782,680.8314,749.982,811.2429,850.6912,867.8629,879.0012,893.3882,885.0344,885.4985,912.8803,934.6929,937.4775,944.9031,598.589430416667,90.96317,944.9031,27696.42639,46,0,853.93993,853.93993,51.7469,11,-4.17689999999999,35
Flumazenil,92.35545,89.10677,91.42726,93.28365,104.8861,130.4115,166.147,184.2468,194.457,206.9876,232.513,269.1767,281.2433,300.2713,306.7686,302.1277,297.0226,290.5252,284.956,275.21,275.21,267.3203,260.3589,252.4692,218.686747083333,89.10677,306.7686,10152.13921,28,2,217.66183,160.11375,18.33185,21,-4.87300000000002,37
GDC.0879,79.36072,87.71448,79.82481,74.71974,68.22237,59.40451,55.69173,57.54812,58.47632,60.33271,71.00696,83.0735,96.99644,107.6707,110.9194,125.3064,137.3729,143.4062,158.7214,171.2521,169.8598,172.1803,180.0699,171.2521,107.51598375,55.69173,180.0699,4910.1544,44,12,124.37817,91.89138,7.65759999999999,35,-4.40893,9
Granisetron.HCl,100.7092,100.2451,95.60414,94.67594,100.2451,104.422,120.6654,135.9807,143.8703,155.0087,179.1417,221.8387,273.3536,311.4096,325.3326,341.576,355.963,347.6092,355.0348,349.0015,338.7914,333.6863,346.681,332.7581,231.816836666667,94.67594,355.963,10693.74086,32,6,261.28706,232.0489,25.75745,23,-6.96144999999999,45
X4μ8C,79.36072,83.5376,81.21711,80.28892,78.43253,91.42726,117.8808,138.7652,157.7932,176.3571,200.9543,230.1925,255.2538,279.3869,291.4534,306.7686,313.7301,310.0173,315.5865,320.6916,309.0891,297.9508,294.7021,285.8842,212.363401666667,78.43253,320.6916,9828.19836000001,38,8,242.25907,206.52348,14.6191,21,-5.80125000000001,39
RG2833..RGFP109.,62.1891,67.75828,72.39925,75.18384,83.0735,112.7758,142.478,159.1855,171.2521,177.7495,202.3466,217.1978,245.5077,284.956,310.9455,313.7301,310.9455,314.1942,323.0121,325.3326,331.8299,322.0839,313.7301,316.9788,219.034819583333,62.1891,331.8299,10134.50344,40,0,269.6408,254.7897,19.72415,25,-4.87299999999999,41
SGX.523,71.47105,82.1453,77.96842,70.54286,71.93516,96.53233,126.2346,135.9807,136.9088,151.76,176.3571,214.4132,243.1872,273.3536,289.597,296.0944,306.7686,308.625,298.4149,282.1714,270.1049,256.6461,252.4692,241.3308,197.125525833333,70.54286,308.625,9149.22339,34,6,238.08214,169.85975,19.02805,21,-8.12174999999999,37
Losartan.Potassium..DuP.753.,84.4658,81.21711,81.68121,74.25565,96.06824,125.3064,159.1855,156.401,151.2959,162.8983,187.0314,209.3081,245.0436,260.3589,286.8124,306.7686,307.2327,309.5532,302.1277,289.597,277.0664,254.7897,244.5795,235.7617,203.700250416667,74.25565,309.5532,9457.38452,34,6,235.29755,151.2959,17.86775,23,-11.13835,41
Everolimus..RAD001.,93.28365,98.38873,97.46053,87.25038,75.18384,68.22237,73.79154,87.25038,106.2784,132.732,173.1085,207.4517,230.6566,267.3203,301.6635,315.5865,339.7196,344.8246,337.8632,338.3273,335.5427,330.4376,329.9735,321.6198,212.247384166667,68.22237,344.8246,9772.97099,34,10,276.60223,228.33615,20.18825,19,-6.03327,7
Acitretin,78.89662,82.60941,81.68121,80.75301,83.5376,98.85282,116.4885,122.5218,135.0524,151.76,181.9263,203.7389,232.513,264.5357,297.0226,322.0839,335.5427,340.1837,341.1118,349.0015,361.5322,365.709,360.604,362.4604,222.921627916667,78.89662,365.709,10258.88112,42,0,286.81238,283.56378,16.24345,27,-2.55250000000001,43
AT9283,69.15057,70.54286,72.39925,78.43253,91.89136,107.6707,147.119,168.9316,176.8212,182.3904,205.5953,230.6566,263.6075,294.238,358.7476,393.5549,426.0417,466.4182,500.2974,531.392,549.4918,556.9173,564.3429,571.3044,294.914794583333,69.15057,571.3044,13515.45517,46,0,502.15383,502.15383,32.2548,27,0.696145000000001,1
Lopinavir,54.76354,55.69173,53.83534,52.44305,58.94042,87.71448,109.9912,121.1295,122.9859,126.2346,135.0524,157.7932,195.3852,211.1645,232.9771,262.6794,277.9946,277.0664,290.0611,289.597,271.4972,253.8615,250.6128,243.1872,174.69414,52.44305,290.0611,8087.36798,36,6,237.61805,188.42366,18.796,23,-9.04989999999998,39
Ivacaftor..VX.770.,104.422,105.8143,105.8143,94.67594,89.10677,96.06824,106.2784,115.5603,121.1295,128.091,146.6549,170.3239,200.4902,246.9,276.6023,310.4814,330.9017,363.8527,393.0908,415.3675,455.744,474.772,471.5233,483.1258,241.949635416667,89.10677,483.1258,11026.0347,46,8,394.01903,378.7038,23.2049,25,-5.56918,5
Ondansetron.HCl,89.57087,90.49906,91.42726,83.5376,84.92989,103.4938,119.7372,109.9912,99.78102,114.6321,125.3064,165.2188,194.9211,226.9438,253.8615,260.8229,284.0278,283.5638,277.0664,275.6741,257.5742,238.5462,214.8773,213.9491,177.498058333333,83.5376,284.0278,8216.38683,32,6,200.4902,124.37823,19.9562,21,-11.83445,43
S3I.201,84.4658,88.64268,89.57087,81.21711,77.50433,88.64268,106.7425,123.45,129.4833,140.6216,152.6882,186.1032,225.0874,255.2538,278.4586,306.7686,330.9017,336.935,331.8299,333.2222,314.6583,304.9122,298.4149,280.3151,206.07874875,77.50433,336.935,9526.99904,34,8,259.43067,195.8493,19.4921,23,-9.28194999999999,39
Tenofovir.Disoproxil.Fumarate,97.46053,102.1015,100.7092,95.60414,92.35545,101.6374,119.7372,129.0192,129.9474,136.9088,145.2626,171.2521,206.0594,244.5795,259.8947,288.6688,293.3098,306.3045,297.0226,290.0611,276.6023,263.6075,263.6075,237.6181,193.722138333333,92.35545,306.3045,8963.58401,34,8,213.94905,140.15757,19.26005,25,-12.9947,45
ABT.751..E7010.,99.31693,102.1015,103.0297,98.38873,92.81956,98.38873,109.063,118.3449,138.3011,177.7495,209.3081,260.3589,299.8072,353.1784,387.9857,432.5391,461.3132,481.2694,502.1538,503.5461,513.7562,524.8946,549.0276,541.6021,298.26016875,92.81956,549.0276,13675.56907,44,8,456.20804,442.28517,26.6856,25,-3.71275000000003,45
Clopidogrel,95.60414,105.3502,101.6374,96.53233,87.25038,90.03497,108.5989,127.1628,127.6269,130.4115,143.4062,163.8265,197.2415,226.9438,242.259,259.8947,275.6741,270.569,264.0716,246.9,239.4744,228.8002,217.6618,219.5182,177.768771666667,87.25038,275.6741,8217.7787,32,8,188.42372,123.91406,16.7075,23,-8.58579999999999,37
WZ4002,85.39399,84.4658,77.04023,74.25565,74.71974,104.8861,155.4727,192.1365,213.0209,229.2643,236.6899,262.6794,323.0121,404.6933,493.8,576.4094,659.4829,720.2797,753.6948,778.756,788.9662,801.9609,813.5634,807.9942,404.693254583333,74.25565,813.5634,18531.88803,44,6,739.30775,722.60021,44.55335,27,-3.712785,3
Tianeptine.sodium,116.4885,114.6321,107.2066,93.28365,86.78629,99.78102,107.2066,112.7758,99.78102,100.7092,114.1681,131.8038,175.8931,212.0927,247.8282,284.0278,315.5865,319.7634,321.1557,323.0121,299.8072,279.3869,270.1049,254.3256,191.1502825,86.78629,323.0121,8804.39946000001,38,8,236.22581,137.8371,22.04465,23,-11.60245,39
Danoprevir..ITMN.191.,111.8476,120.2013,116.0244,112.3117,110.4553,124.8423,139.6934,159.1855,160.5778,174.5008,184.2468,204.203,239.4744,268.7126,284.0278,308.1609,310.9455,308.1609,291.9175,258.9666,249.2205,245.5077,240.8667,233.4412,206.562175,110.4553,310.9455,9569.6956,32,8,200.4902,121.5936,17.6357,23,-16.47545,37
Ziprasidone.HCl,121.1295,124.3782,130.4115,126.2346,115.0962,108.5989,116.4885,116.4885,120.6654,129.9474,135.0524,146.6549,165.6829,187.4955,191.6724,221.8387,245.9718,256.182,257.5742,252.9333,254.3256,245.0436,216.7337,207.4517,174.752141666667,108.5989,257.5742,8059.5216,36,10,148.9753,86.3222,15.08315,29,-14.15495,43
Thalidomide,108.1348,110.9194,109.9912,102.1015,108.1348,125.3064,127.1628,134.5883,131.8038,140.1575,168.0034,185.175,211.6286,226.0156,253.3974,268.2485,294.7021,302.1277,283.0996,277.9946,257.1102,240.4026,237.6181,233.4412,193.219379166667,102.1015,302.1277,8932.95420000001,34,6,200.0262,125.3064,13.92295,19,-10.4422,39
Cilomilast,104.8861,112.7758,99.78102,92.35545,84.4658,82.60941,91.42726,103.4938,117.8808,129.4833,145.7267,167.0752,198.1698,219.0542,229.7284,235.2976,237.154,240.8667,225.5515,233.4412,234.8335,236.2258,232.513,227.4079,170.091843333333,82.60941,240.8667,7832.11448,34,10,158.25729,122.5218,15.5473,23,-7.6576,35
Dimesna,102.5656,110.4553,103.4938,95.60414,92.81956,95.60414,96.06824,99.31693,108.1348,115.5603,139.2293,161.0419,199.562,226.4797,249.2205,261.7511,271.4972,271.0331,279.3869,274.7459,259.8947,251.541,236.2258,220.4464,180.069929583333,92.81956,279.3869,8320.34462,36,8,186.56734,117.8808,19.26005,23,-7.88969999999999,45
Moxifloxacin.HCl,110.9194,114.6321,111.8476,107.6707,99.78102,113.2399,118.809,129.4833,136.4447,138.7652,156.8651,193.9929,229.7284,272.4254,297.0226,316.0506,329.0453,326.2607,325.7966,311.8737,311.8737,303.5199,295.1662,277.9946,213.717025833333,99.78102,329.0453,9869.50323999999,32,8,229.26428,167.0752,21.3485,25,-8.58580000000001,45
Methotrexate,77.96842,79.82481,82.60941,74.25565,75.18384,100.7092,126.6987,140.6216,149.4395,142.0139,164.2906,192.1365,212.0927,236.2258,255.7179,251.0769,266.8562,262.6794,273.3536,259.4307,246.4359,225.5515,212.5568,194.9211,179.277109583333,74.25565,273.3536,8332.41174,36,6,199.09795,116.95268,13.92295,21,-10.4422,41
Pimasertib..AS.703026.,68.68647,84.4658,86.78629,97.46053,148.9754,215.3414,249.6846,254.3256,236.6899,258.0384,269.1767,313.7301,346.681,381.0243,375.4551,384.7371,388.9139,391.6985,390.7703,378.2397,374.5269,364.3167,358.7476,352.2502,282.113437083333,68.68647,391.6985,13120.50831,34,0,323.01203,283.56373,33.183,9,-8.81785000000001,15
JIB.04,66.83008,67.29417,64.97369,60.33271,70.07877,86.32218,100.7092,107.6707,109.5271,123.45,153.1523,181.4622,220.4464,249.6846,259.8947,275.21,278.9228,278.9228,279.3869,275.6741,265.4639,253.8615,226.0156,214.8773,177.9234875,60.33271,279.3869,8258.62001999999,36,6,219.05419,148.04722,19.4921,23,-13.92295,43
STF.118804,98.85282,103.0297,98.85282,90.03497,87.25038,92.81956,105.8143,118.809,115.5603,134.5883,172.6444,222.3028,260.3589,267.7844,275.6741,274.2818,271.4972,263.1434,256.6461,231.5848,219.9823,207.9158,196.7775,190.2801,181.520239583333,87.25038,275.6741,8423.83858,28,8,188.42372,91.42728,24.8292,21,-12.53065,37
ABT.737,61.725,68.68647,90.96317,221.8387,378.2397,513.2921,583.835,639.0626,646.4882,660.8752,666.9085,701.7158,730.0258,776.4355,803.8173,825.1658,851.6194,859.5091,867.8629,879.9294,881.7858,887.819,888.7473,889.6754,640.667630833333,61.725,889.6754,29800.64588,46,0,827.9504,827.9504,78.2005,7,0.464049999999986,45
YM201636,65.43778,74.71974,63.58139,51.05075,64.97369,92.35545,123.45,140.6216,168.4675,190.7442,220.4464,269.1767,333.6863,389.378,455.2799,503.082,565.7352,623.2833,664.588,700.3235,720.7438,731.4181,733.2745,736.5231,361.764204166667,51.05075,736.5231,16562.72092,46,6,685.47235,671.08532,32.95095,27,-6.26532,5
Nintedanib..BIBF.1120.,66.36598,353.1784,369.8859,224.1592,161.506,178.6776,239.0103,295.1662,310.4814,311.4096,308.625,281.2433,261.287,233.4412,219.5182,237.154,252.0051,271.4972,300.2713,324.8684,344.8246,346.2169,349.9297,348.0733,274.5331575,66.36598,369.8859,12763.15228,4,0,303.51992,281.70732,143.40621,1,-72.86335,5
Raloxifene.HCl,61.725,66.83008,67.29417,66.83008,73.32745,91.42726,95.60414,101.6374,115.0962,131.3397,141.0857,179.1417,202.8107,226.0156,250.6128,255.2538,255.2538,243.6513,224.6233,224.6233,221.8387,210.7004,211.1645,212.5568,163.768495,61.725,255.2538,7586.60596,30,0,193.5288,150.8318,19.028,21,-9.514,35
Dasatinib,93.74775,94.21185,89.57087,87.25038,126.2346,197.2415,260.8229,301.6635,314.6583,320.6916,318.3711,304.4482,315.5865,355.4989,404.6933,478.0207,567.5916,640.919,693.3621,741.6282,756.0153,771.3305,772.7228,782.0048,407.845260416667,87.25038,782.0048,18700.81995,46,6,694.75442,688.25705,44.78545,31,-6.96145000000001,21
Vincristine,103.9579,107.6707,117.8808,113.2399,115.5603,113.704,117.4167,118.809,124.8423,145.2626,170.788,199.562,229.2643,244.1154,251.0769,262.6794,252.0051,242.259,230.1925,232.9771,232.9771,235.2976,236.2258,256.182,185.5811,103.9579,262.6794,8547.7529,30,0,158.7215,152.2241,14.85115,23,-6.03325,35
Nilotinib..AMN.107.,87.71448,83.0735,76.57613,64.97369,59.86861,53.83534,72.39925,104.8861,126.6987,155.0087,188.8878,213.9491,228.3361,242.259,239.0103,238.0822,241.3308,261.287,266.8562,269.6408,277.9946,284.0278,291.9175,299.8072,184.5175375,53.83534,299.8072,8469.32012,46,10,245.97186,212.09272,16.93955,19,-5.80122,5
Entecavir.Hydrate,127.6269,123.9141,112.3117,94.21185,84.00169,97.46053,121.5936,130.8756,135.5166,146.6549,158.7214,171.7162,195.3852,223.231,248.2923,268.2485,287.7406,305.8404,304.9122,288.6688,262.2152,238.0822,233.9053,213.0209,190.58948625,84.00169,305.8404,8807.64754,34,8,221.83871,85.394,13.9229,25,-13.2268,39
Sunitinib.Malate,171.2521,368.9577,570.3762,672.0135,743.0205,839.0887,914.7367,871.1115,902.6702,881.3217,931.9083,917.9854,917.0572,963.9311,992.7051,975.5335,957.8978,915.2008,814.4916,701.7158,646.4882,620.4987,575.4813,531.392,766.534816666667,171.2521,992.7051,36091.0271,28,0,821.453,360.1399,100.70925,3,-56.3879,37
Avagacestat..BMS.708163.,103.9579,105.3502,107.2066,97.46053,91.89136,105.8143,121.1295,129.4833,127.1628,121.5936,144.7985,182.8545,229.2643,261.7511,279.851,293.3098,303.5199,313.266,303.0558,303.5199,286.8124,276.1382,263.1434,248.7564,200.045470416667,91.89136,313.266,9249.46828,34,8,221.37464,144.7985,23.2049,23,-8.35374999999999,39
Elesclomol..STA.4783.,87.25038,92.35545,89.10677,74.25565,68.68647,70.54286,77.04023,84.4658,84.4658,92.35545,108.5989,138.3011,181.9263,209.3081,223.231,241.3308,254.3256,255.7179,266.8562,247.8282,237.6181,227.872,219.0542,192.6006,159.378910833333,68.68647,266.8562,7370.33674,36,8,198.16973,105.35022,21.8126,23,-13.2268,45
Altretamine,114.1681,118.809,105.3502,95.14005,100.7092,129.4833,156.8651,173.5726,153.6164,157.3291,166.147,186.5673,213.0209,229.2643,233.4412,227.4079,245.0436,240.8667,243.6513,236.2258,229.7284,217.1978,212.5568,197.2415,182.641814583333,95.14005,245.0436,8455.39750000001,32,6,149.90355,83.0734,14.38705,9,-9.9781,15
GDC.0941,117.4167,132.732,128.5551,125.3064,148.5113,190.2801,233.4412,253.3974,246.4359,252.4692,258.5025,271.0331,290.0611,316.9788,374.991,403.765,441.8211,463.1696,484.5181,491.9436,498.441,495.6564,474.3079,465.4901,314.967691666667,117.4167,498.441,14535.5424,40,0,381.0243,348.0734,29.0061,27,-10.67425,43
Bumetanide,108.5989,107.6707,102.1015,84.92989,80.75301,105.8143,125.3064,132.2679,132.732,142.9421,151.2959,182.8545,213.485,234.3694,262.2152,283.5638,295.6303,300.7354,278.4586,270.569,251.0769,235.7617,226.4797,214.4132,188.501054166667,80.75301,300.7354,8725.0385,34,8,219.98239,105.8143,15.7793,21,-11.1384,35
SB216763,123.45,140.6216,129.9474,127.1628,129.9474,145.2626,175.429,194.457,213.9491,253.8615,278.9228,341.576,389.378,442.2852,491.4795,520.7177,565.2711,595.4374,624.6756,621.891,649.2728,646.9523,650.201,628.8525,378.375054166667,123.45,650.201,17409.7001,44,0,526.751,505.4025,31.3266,21,-10.67425,45
FT.207..NSC.148958.,106.2784,108.5989,100.2451,98.85282,84.4658,93.74775,103.4938,116.0244,115.0962,121.5936,132.732,159.1855,186.1032,216.7337,248.2923,272.8895,277.0664,284.956,281.2433,273.8177,259.4307,257.5742,252.0051,238.5462,182.873857083333,84.4658,284.956,8433.12054,34,8,200.4902,132.2678,15.7793,27,-7.19351,7
Iniparib..BSI.201.,132.2679,128.091,116.0244,116.9526,113.2399,128.5551,129.9474,128.5551,130.8756,136.9088,144.3344,162.4342,188.4237,232.0489,265.4639,287.7406,316.9788,320.6916,318.3711,325.7966,307.6968,286.8124,261.7511,258.0384,205.7500125,113.2399,325.7966,9485.69430000001,38,8,212.5567,125.7705,21.8126,25,-12.53065,43
Dexamethasone..DHAP.,88.64268,99.78102,96.06824,90.96317,80.28892,90.49906,95.60414,105.3502,101.1733,103.0297,98.38873,100.7092,105.8143,114.6321,117.8808,132.2679,138.7652,148.9754,169.3957,187.9596,202.3466,214.4132,233.4412,249.2205,131.9004525,80.28892,249.2205,5993.35854,46,8,168.93158,160.57782,10.21015,35,-5.337125,7
Quisinostat..JNJ.26481585.,107.2066,117.4167,106.7425,94.21185,107.6707,161.9701,212.0927,245.9718,273.8177,300.2713,329.0453,373.5987,413.047,460.385,502.1538,528.6074,556.4532,559.2378,570.3762,593.1169,622.3551,643.2395,677.1187,691.9698,385.336514583333,94.21185,691.9698,17696.9763,46,6,597.75795,584.7632,27.1497,9,-6.265325,5
Fluoxetine.HCl,80.75301,88.17857,90.03497,78.89662,74.25565,87.71448,106.2784,120.2013,135.0524,142.478,151.2959,180.0699,223.231,260.8229,292.8457,291.9175,303.5199,298.4149,290.5252,294.238,288.2047,264.0716,252.9333,244.5795,193.354725,74.25565,303.5199,8955.69429,32,8,229.26425,163.82649,21.58055,23,-12.06655,41
LY294002,83.5376,83.5376,81.68121,78.89662,88.17857,109.5271,130.8756,155.9368,168.4675,175.429,210.7004,249.6846,296.0944,312.8019,324.8684,342.0401,364.3167,354.5707,350.8579,338.3273,311.8737,297.9508,279.851,277.5305,227.814,78.89662,364.3167,10574.0039,32,6,285.42008,193.9929,23.2049,23,-13.2268,39
Ivermectin,58.01222,57.08403,58.47632,60.33271,55.69173,72.86335,94.67594,110.9194,122.9859,144.3344,163.8265,200.0261,236.2258,279.851,312.3378,317.907,301.1995,298.4149,296.5585,278.9228,271.0331,263.6075,257.5742,256.182,190.376779166667,55.69173,317.907,8823.89117999999,30,8,262.21527,198.16978,21.8126,25,-8.81784999999999,37
SGI.1027,71.47105,80.75301,89.10677,87.25038,87.25038,92.81956,115.5603,139.6934,159.6496,172.6444,182.3904,204.203,234.8335,280.7791,263.1434,257.1102,253.3974,241.3308,229.7284,212.5568,221.3746,217.1978,241.3308,250.1487,182.738489583333,71.47105,280.7791,8449.82775,26,0,209.30805,178.67765,22.9728,25,-8.81785000000002,27
ZCL278,72.39925,72.86335,75.64793,77.96842,82.1453,99.78102,116.9526,143.4062,158.7214,182.3904,206.9876,248.7564,276.1382,304.9122,335.0786,342.0401,356.8912,368.4936,361.5322,355.0348,347.1451,355.963,352.7143,349.0015,235.123527916667,72.39925,368.4936,10864.52859,34,0,296.09435,276.60225,20.8844,21,-3.94485,39
GSK690693,67.75828,67.75828,71.93516,80.28892,100.7092,145.7267,175.429,195.8493,191.6724,192.1365,199.0979,216.7337,244.5795,281.7073,327.1889,360.1399,387.5216,382.4166,388.4498,377.7756,377.7756,363.8527,355.0348,355.963,246.14586,67.75828,388.4498,11391.28,36,0,320.69152,288.20472,22.7408,27,-6.96144999999999,41
GSK1059615,77.96842,90.49906,95.60414,94.21185,126.6987,186.1032,248.7564,313.7301,349.4656,386.1293,408.406,438.5724,478.0207,516.0767,549.9559,597.7579,635.814,685.4724,714.2465,756.0153,792.2149,824.2376,846.0502,859.045,461.293844583333,77.96842,859.045,21205.09112,46,0,781.07658,781.07658,32.48685,13,-0.696145000000001,5
TW.37,59.40451,62.1891,64.50959,58.47632,59.86861,62.1891,68.22237,69.61466,80.75301,92.35545,104.8861,130.8756,155.0087,187.9596,217.6618,235.2976,248.2923,260.3589,273.3536,276.1382,283.0996,278.4586,273.3536,262.6794,161.04193,58.47632,283.0996,7407.92873,40,6,224.62328,203.27489,16.47545,25,-5.33709999999999,45
